filename,gt_shape,gt_dtype,gt_min,gt_max,gt_mean,gt_std,gt_error,lr_shape,lr_dtype,lr_min,lr_max,lr_mean,lr_std,lr_error
000090.npy,"(256, 256)",float32,0.0,1.0,0.480431353852282,0.16221828474934002,,"(128, 128)",float32,0.006946725770831108,1.2235801219940186,0.4802575895994323,0.17893366675995104,
000091.npy,"(256, 256)",float32,0.0,1.0,0.4852854355916918,0.16085075506367183,,"(128, 128)",float32,-0.012263614684343338,1.3169260025024414,0.48444581492432803,0.1797584674011024,
000092.npy,"(256, 256)",float32,0.0,1.0,0.33730204686855814,0.14542412273811767,,"(128, 128)",float32,0.007766064256429672,1.171478509902954,0.3372680323449231,0.1580972390164906,
000093.npy,"(256, 256)",float32,0.0,1.0,0.1536299489187769,0.11855875698803217,,"(128, 128)",float32,0.0002591325028333813,1.2181051969528198,0.15367111992088134,0.12251750324768208,
000094.npy,"(256, 256)",float32,0.0,1.0,0.16786650891766897,0.1322945559896112,,"(128, 128)",float32,0.0031070425175130367,1.242258906364441,0.16806412248759273,0.13778769427486598,
000095.npy,"(256, 256)",float32,0.0,1.0,0.15064746571906262,0.11862934522675737,,"(128, 128)",float32,0.004040090832859278,1.2349181175231934,0.15088581629146347,0.12286286585813211,
000096.npy,"(256, 256)",float32,0.0,1.0,0.47883422792493147,0.22899934823162435,,"(128, 128)",float32,-0.026201551780104637,1.6031264066696167,0.4786467925654678,0.24834935010348014,
000097.npy,"(256, 256)",float32,0.0,1.0,0.33747393409587106,0.18561778917578653,,"(128, 128)",float32,-0.009539793245494366,1.27866530418396,0.3386659286076057,0.19533438059040384,
000098.npy,"(256, 256)",float32,0.0,1.0,0.34082812899302245,0.1759774545663772,,"(128, 128)",float32,-0.020432736724615097,1.2599529027938843,0.34141201303152213,0.18476846483854806,
000099.npy,"(256, 256)",float32,0.0,1.0,0.33977131545634476,0.18426135136617655,,"(128, 128)",float32,-0.016461877152323723,1.1647862195968628,0.3393921218931679,0.19265089325610457,
000100.npy,"(256, 256)",float32,0.0,1.0,0.3256443054597007,0.24792557289840705,,"(128, 128)",float32,0.0033466313034296036,1.7199463844299316,0.32685623345909676,0.2582550165892154,
000101.npy,"(256, 256)",float32,0.0,1.0,0.5187991765104698,0.19901257471091227,,"(128, 128)",float32,0.022943291813135147,1.4729690551757812,0.5188708269994322,0.21518607643345034,
000102.npy,"(256, 256)",float32,0.0,1.0,0.5098137113315531,0.19764971734675568,,"(128, 128)",float32,0.00013303956075105816,1.4017560482025146,0.5105869091754665,0.22018667287405808,
000103.npy,"(256, 256)",float32,0.0,1.0,0.5142685475435975,0.20347041252642217,,"(128, 128)",float32,0.0027353838086128235,1.492667317390442,0.5146671506915368,0.22256408410719497,
000104.npy,"(256, 256)",float32,0.0,1.0,0.6023604479083318,0.26543500445670964,,"(128, 128)",float32,-0.0010234973160549998,1.6933449506759644,0.6025338685745467,0.2935111095187197,
000105.npy,"(256, 256)",float32,0.0,1.0,0.3152083931768832,0.28449214881430845,,"(128, 128)",float32,-0.003359615569934249,1.5563808679580688,0.31580820524063746,0.2917343917150683,
000106.npy,"(256, 256)",float32,0.0,1.0,0.20914875976982206,0.19592277814140072,,"(128, 128)",float32,-0.017986170947551727,1.255150318145752,0.20963025303154964,0.2013662179159232,
000107.npy,"(256, 256)",float32,0.0,1.0,0.26445624040767834,0.2480011059488218,,"(128, 128)",float32,-0.00010035479499492794,1.5079317092895508,0.2648343034316616,0.2558803111319795,
000108.npy,"(256, 256)",float32,0.0,1.0,0.3131117990031235,0.20975725593611197,,"(128, 128)",float32,-0.09665048867464066,1.2967113256454468,0.312630031524199,0.21158012322731706,
000109.npy,"(256, 256)",float32,0.0,1.0,0.2504721345418952,0.26077967024662185,,"(128, 128)",float32,-0.010663505643606186,1.5469846725463867,0.25054161871065084,0.26625541390431173,
000110.npy,"(256, 256)",float32,0.0,1.0,0.1797597836370171,0.19157129544770993,,"(128, 128)",float32,-0.04024512320756912,1.295734167098999,0.18013743428191076,0.19524168773312142,
000111.npy,"(256, 256)",float32,0.0,1.0,0.1730175478155469,0.18375400903237793,,"(128, 128)",float32,-0.004811608232557774,1.509425401687622,0.17312994887246047,0.18817182024610998,
000112.npy,"(256, 256)",float32,0.0,1.0,0.35213031341708145,0.19236351711215888,,"(128, 128)",float32,0.00015617765893694013,1.2249683141708374,0.35118077895140853,0.2009296731015944,
000113.npy,"(256, 256)",float32,0.0,1.0,0.46788855186639466,0.14634740201765412,,"(128, 128)",float32,0.010541718453168869,1.4624693393707275,0.4684804681508581,0.1710037136069485,
000114.npy,"(256, 256)",float32,0.0,1.0,0.4679600274174298,0.1472135482892042,,"(128, 128)",float32,0.010858355090022087,1.3704429864883423,0.4686231711214077,0.17572136078071207,
000115.npy,"(256, 256)",float32,0.0,1.0,0.773517615512958,0.10238009432373726,,"(128, 128)",float32,0.029363946989178658,1.3549402952194214,0.7738134926977409,0.14917199341773268,
000116.npy,"(256, 256)",float32,0.0,1.0,0.4893094454680469,0.1606844981997857,,"(128, 128)",float32,0.020436115562915802,1.162831425666809,0.49034644514563297,0.1764565710791623,
000117.npy,"(256, 256)",float32,0.0,1.0,0.37159434281589654,0.13687018232330275,,"(128, 128)",float32,0.018519334495067596,1.5387827157974243,0.3715950870667939,0.15042780361948013,
000118.npy,"(256, 256)",float32,0.0,1.0,0.3749511818132305,0.13649583145252295,,"(128, 128)",float32,0.00843273289501667,1.1705924272537231,0.37505279623348997,0.14936583878845694,
000119.npy,"(256, 256)",float32,0.0,1.0,0.3890996620028444,0.12833137020357951,,"(128, 128)",float32,0.0016192087205126882,1.2798079252243042,0.39022534449851065,0.14642234895931083,
000120.npy,"(256, 256)",float32,0.0,1.0,0.6262884319514441,0.29640685561944086,,"(128, 128)",float32,0.0014191903173923492,1.474838376045227,0.6259460429749453,0.3131835664448151,
000121.npy,"(256, 256)",float32,0.0,1.0,0.24640968729197255,0.23725013315353086,,"(128, 128)",float32,0.001255179289728403,1.4255272150039673,0.24777421798434318,0.24345406684556964,
000122.npy,"(256, 256)",float32,0.0,1.0,0.2851512731422653,0.2669319747726707,,"(128, 128)",float32,-0.021321017295122147,1.3724861145019531,0.2868353560717458,0.27765487243835396,
000123.npy,"(256, 256)",float32,0.0,1.0,0.27290678878965835,0.2631516994274205,,"(128, 128)",float32,-0.02065289579331875,1.398290753364563,0.2742659271574611,0.27252776554562624,
000124.npy,"(256, 256)",float32,0.0,1.0,0.35004232701857063,0.2152777754823911,,"(128, 128)",float32,-0.04865574464201927,1.4752637147903442,0.34990285579223723,0.222653918719901,
000125.npy,"(256, 256)",float32,0.0,1.0,0.3139516156577642,0.22898081994003977,,"(128, 128)",float32,-0.007173632737249136,1.410325050354004,0.3143805831104167,0.23780413266701222,
